Date;Pre-Prod No.;Product Code;Category;New Mould/ Client or Product;Status;Project Description;Client;Sales Rep;Unit Order No;Order Qty x1000;Product Material Colour (tube,jar etc.);Length;Material;Orifice;Diameter;Tube Shoulder colour;Cap/Lid Colour;Cap/Lid Diameter;Cap/Lid style;Cap/Lid Material;Other Cap/Lid info; Dust Controlled Area;Artwork required;Artwork Received;Ordered Plates;Plates Arrived;Sent on Trial;Trial approved;Machine;Comments;Weeks Taken (or parts thereof);Open or closed;Completion date;Project Age (Days taken Open Projects);Age Category;Project Age (Open and Closed);Proof Approved (Conventional);Proof Approved (Digital);Masterbatch requested;Masterbatch received;Injection trial requested;Injection trial received;Blowmould trial requested;Blowmould trial received;Extrusion requested;Extrusiuon received;Digital trial sent;Digital trial received (actual dates have replaced crosses for latest trials);Year;Month;Month Name
2018-10-17;14161;C40LTVIS001F;Digital Laminate;;Order (a/w);Bella Ceutics Nourishing Skin Lightening Lotion 100ml;Vision Labs Beauty;Rob;147823/0;3,1;White;120;PBL;10;40;White;White;38;F/T B/O;PP;Fugi Sleave;;X;1900-01-00;-;-;;;DIGITAL ;;7;Closed;2018-11-28;;;;;;;;;;;;;;;;;;
2018-10-17;14162;C40LTVIS002F;Digital Laminate;;Order (a/w);Bella Ceautics Skin Lightening Cream 100ml;Vision Labs Beauty;Rob;147825/0;3,1;White;120;PBL;10;40;White;White;38;F/T B/O;PP;Fugi Sleave;;X;1900-01-00;-;-;;;DIGITAL ;;7;Closed;2018-11-28;;;;;;;;;;;;;;;;;;
2018-10-17;14163;C40LTRGP007F;Digital Laminate;;Order (a/w);Modern Me Tube 150ml;RG Cosmetics;Rob;147801/0;10;White;180;PBL;10;40;White;White;38;F/T B/O;PP;Fugi Sleave;;X;1900-01-00;-;-;;;DIGITAL ;;5;Closed;2018-11-19;;;;;;;;;;;;;;;;;;,
2018-10-19;14164;CLIDSSTD069F;Lid;;Order;Lentheric 250/450 N/Tamper Lock Flat Lid 450ml - White;Indigo Cosmetics;Wayne;147847/2;127;;;;;;;White;;;PP;;;;1900-01-00;-;-;;;INJECTION;;2;Closed;2018-10-30;;;;;;;;;;;;;;;;;;,
2018-10-19;14165;C0750QUA102F;PET;;Order;Trigger PET Bottle 750ml (37gm) - Orange;Quantum Products;Wayne;147849/3;20;Orange;;PET;;;;;;;;;;;1900-01-00;-;-;;;;;21;Closed;2019-03-13;;;;;;;;;;;;;;;;;;,
2018-10-22;14166;;PET;;No order;Firstwatch 200ml;Edward Snell;Bernd;;;Natural;;PET;;;;;;;;;;;1900-01-00;-;-;;;;;40;Closed;2019-07-24;;;;;;;;;;;;;;;;;;,
2018-10-23;14167;;PET;;No order;2lt Vinigar Bottle (drawings);Cecil Vinegar;Bernd;;;Natural;;PET;;;;;;;;;;;1900-01-00;-;-;;;;;67;Closed;2020-01-30;;;;;;;;;;;;;;;;;;,
2018-10-23;14168;C50TBMOS003F;Tube and Cap;;Order (a/w);Oxy 3 in 1 Charcoal Mask 125ml;Mosaic;Rob;147912/0;10,2;Black;125;Coex;10;50;Natural;Black;48;F/T B/O;PP;Fugi Sleeve;;X;2018-10-16;2018-10-31;2018-11-02;;;Dubuit;;7;Closed;2018-12-10;;;;;;;;;;;;;;;;;;
2018-10-23;14169;C40LTANS000F;Digital Laminate;;Order (a/w);Groomer's Choice Ora Fresh Toothpaste 100ml;Antiseptic International;Karen;147909/0;2,5;White;120;ABL White;4;40;White;White;15/38;A;PP;Foil Seal;;X;1900-01-00;-;-;;;DIGITAL ;;3;Closed;2018-11-09;;;;;;;;;;;;;;;;;;
2018-10-23;14170;C50TBZAN002F;Tube and Cap;;Order (a/w);Aloe Gel With Aloe Ferox 200ml;ZA Natural Care;Rob;147917/0;5;White;160;COEX;10;50;White;White;48;F/T B/O;PP;Fugi Sleeve;;X;2018-10-23;2018-11-01;2018-11-02;;;HK;;5;Closed;2018-11-26;;;;;;;;;;;;;;;;;;,
2018-10-24;14171;;Other;;No order;Skinchem Puffer (Mould Modification);Skinchem (Pty) Ltd.;Mark K;;;;;;;;;;;;;;;;1900-01-00;-;-;;;INJECTION;;67;Closed;2020-01-30;;;;;;;;;;;;;;;;;;,
2018-10-25;14172;;Other;;No order;Custard Jar 500 grm -  Drawing;Monteagle;Bernd;;;;;;;;;;;;;;;;1900-01-00;-;-;;;;;68;Closed;2020-02-12;;;;;;;;;;;;;;;;;;,
2018-10-25;14173;;Tube and Cap;-;No order (a/w);Inuka Always with You Blue 10ml;RG Cosmetics;Rob;;;Blue;60;LDPE;4;22;Blue;Prl White;22;A;PP;;;X;1900-01-00;-;-;;;DUBUIT;;6;Closed;2018-12-05;;;;;;;;;;;;;;;;;;,
2018-10-25;14174;;Tube and Cap;-;No order (a/w);Inuka Always With You Grey 10ml;RG Cosmetics;Rob;;;Grey;60;LDPE;4;22;Grey;Prl White;22;A;PP;;;X;1900-01-00;-;-;;;DUBUIT;;6;Closed;2018-12-05;;;;;;;;;;;;;;;;;;,
2018-10-25;14175;;Tube and Cap;-;No order (a/w);Inuka Always With You Pink 10ml;RG Cosmetics;Rob;;;Pink;60;LDPE;4;22;Pink;Black;22;A;PP;;;X;1900-01-00;-;-;;;DUBUIT;;2;Closed;2018-11-06;;;;;;;;;;;;;;;;;;,
2018-10-25;14176;;Tube and Cap;-;No order (a/w);Inuka Always with You Red 10ml;RG Cosmetics;Rob;;;Red;60;LDPE;4;22;Red;Prl White;22;A;PP;;;X;1900-01-00;-;-;;;DUBUIT;;6;Closed;2018-12-05;;;;;;;;;;;;;;;;;;,
2018-10-25;14177;C40TBSKN000F;Tube and Cap;;Order (a/w);Body Curve Calm Balm 100ml;Skin Rejuvenation Technologies;Karen;147938/1;5;Green 345c;120;COEX;10;40;Natural;White;38;F/T B/O;PP;Fugi Sleeve;;X;2018-10-25;2018-11-01;2018-11-02;;;DUBUIT;;21;Closed;2019-03-19;;;;;;;;;;;;;;;;;;,
2018-10-29;14178;C25LTLAA000F;Digital Laminate;;Order (a/w);Vitamin C Polish 50ml;La Van Skincare;Rob;148035/1;2,5;Silver;140;ABL Silver;4;25;White;Environ Silver;25;A;PP;Foil Seal;;X;1900-01-00;-;-;;;DIGITAL ;;6;Closed;2018-12-07;;;;;;;;;;;;;;;;;;
2018-10-29;14179;C25LTLAA001F;Digital Laminate;;Order (a/w);Vitamin C Polish 15ml;La Van Skincare;Rob;148036/0;2,5;Silver;80;ABL Silver;4;25;White;Environ Silver;25;A;PP;Foil Seal;;X;1900-01-00;-;-;;;DIGITAL ;;6;Closed;2018-12-07;;;;;;;;;;;;;;;;;;
