Date_Log,Trial_Description,Num_Colours,Order_Status,Tubes_Status,Plates_Status,PP_Num,DIA,Specifications,Completion_Date,Comments,Source_Week
2025-12-11,Luxury Lotion Neroli 50ml,D,,,,20850,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 7
2025-12-11,Luxury Lotion Rose Geranium 50ml,D,,,,20851,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 7
,SolonCare,,,,,20891,35,35x120/10 PBL,,,Week 7
,SolonCare,,,,,20892,35,35 x120/10 PBL,,,Week 7
,Laminate  Assebly Week 7,,,,,,,,,,Week 7
2025-12-11,Luxury Lotion Neroli 50ml,D,,,,20850,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 7
2025-12-11,Luxury Lotion Rose Geranium 50ml,D,,,,20851,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 7
,SolonCare,,,,,20891,35,35x120/10 PBL,,,Week 7
,SolonCare,,,,,20892,35,35 x120/10 PBL,,,Week 7
,Foil Week 7,,,,,,,,,,Week 7
2025-12-12,Luxury Lotion Neroli 50ml,D,,,,20850,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 7
2025-12-12,Luxury Lotion Rose Geranium 50ml,D,,,,20851,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 7
,SolonCare,,,,,20891,35,35x120/10 PBL,,,Week 7
,SolonCare,,,,,20892,35,35 x120/10 PBL,,,Week 7
,Offset  Trail Week 7,,,,,,,,,,Week 7
,S/S  Week 7,,,,,,,,,,Week 7
,Cuticura Overseas Plates,,,,,,,,,Wait on Plates from Oversees. Cindy busy with these. May be manufactured oversees.,Week 8
2026-02-12,Oxy Charcoal 3 in 1 125ml,5,,x,,20912,50,50x125/10 Coex White,2026-02-21,may not get these approvals this week,Week 8
2026-02-18,Dermaplex,2,,,,20972,50,50x130/10 LDPE White%,2026-02-21,,Week 8
,Simply Florals Magnolia,,,,,20879,25,25x95/4 LDPE Lilac,,,Week 8
,Simply Florals Rose,,,,,20880,25,25x95/4 LDPE Pink,,,Week 8
,Simply Florals Magnalia,,,,,20881,35,35x110/4 LDPE Lilac,,,Week 8
,Simply florals Vanilla,,,,,20883,35,35x110/4 LDPE Beige,,,Week 8
2026-02-20,Simply Florals Rose,,,,,20882,35,35x110/4 LDP Pink,2026-02-21,,Week 8
2026-02-11,Simply Florals Rose,7,,x,,20886,50,50x180/10 LDPE Pink,2026-02-21,,Week 8
2026-02-07,Simply Florals Magnolia,7,,x,x,20885,50,50x180/10 LDPE Lilac,2026-02-21,8/2 1st attempt 2 attempt after plate correction will be 12/2,Week 8
2026-02-07,Simply Florals Magnolia,7,,x,x,20884,50,50x180/10 LDPE Lilac,2026-02-21,,Week 8
2025-12-02,Castor Oil,3,,,,20747,35,35x120/10 COEX BLACK,2026-01-19,8/12 needs to be retrialled,Week 8
,Castor Oil,3,,,,20748,50,50X160/10 Coex Black,2025-12-12,8/12 needs to be retrialled,Week 8
,Presta,4,x,x,x,20875,50,50x180/10Coex Black,,,Week 8
,Presta,4,x,x,x,20876,50,50x180/10Coex Black,,,Week 8
,oud,2,,,,19875,50,50x180/10Coex Black,,,Week 8
,oud,2,,,,19876,50,50x180/10Coex Black,,,Week 8
,House of Aloe,,,x,,20865,35,35x120/10 LDPE Brown,,Excisting art with a twistC35TBHOA039F)  Green change to spot Laq.,Week 8
2026-01-26,Young Solution,3,,,,20375,50,50x130/10 COEX Red,,No Signed artwork yet 17/11/25 still nothing,Week 8
,Laminate Print Trial/Cindi Week 8,,,,,,,,,,Week 8
2025-12-11,Luxury Lotion Neroli 50ml,D,,,,20850,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 8
2025-12-11,Luxury Lotion Rose Geranium 50ml,D,,,,20851,35,35x100/4 ABL Silver,2026-01-19,Bytjie Salf,Week 8
