Pre-Prod No.;Client;Description;Date Sent on Proof;Proof Approved (Digital);Size of Eyemark;Artwork Received;Revised Artwork After Trialling;comments;
11293;Canway;OSH Vanilla Delight Mini Hand Cream 25ml;14.01.16;25.01.2016;8x2;;;;
11181;Vanda Cosmetics;Soothing Cream 50ml;18.01.16;cancelled;;;;;
11282;Derma Fix;Derma Fix BB Cream Light 32ml;20.01.16;22.01.2016;8x2;;;;
11283;Derma Fix;Derma Fix BB Cream Med 32ml;20.01.16;22.01.2016;8x2;;;;cancelled
11284;Derma Fix;Derma Fix BB Cream Dark 32ml;20.01.16;22.01.2016;8x2;;;;
11300;Pepper Tree Packaging;Little Fairy Shimmer Lotion 150ml;20.01.16;22.01.2016;8X3;;;;
11374;The Lash Collection;World Beauty 50ml;22.01.16;22.01.2016;8X3;;;;
11169;Fabupharm;Fabulous Feet Citro Heel Balm 100ml;28.01.16;05.02.2016;8X3;;;;
11318;Natures Touch;Rose and Camomile Day Cream 50ml;02.02.16;12.02.2016;8X3;;;;
11319;Natures Touch;Honey and Propolis Eczema Cream 50ml;02.02.16;12.02.2016;8X3;;;;
11320;Natures Touch;Cape Aloe and Propolis Day Cream 50ml;02.02.16;12.02.2016;8X3;;;;
11321;Natures Touch;Chamomile and Bergamot Day Cream 50ml;02.02.16;12.02.2016;8X3;;;;
11322;Natures Touch;Rosehip and Cape Aloe Night Cream 50ml;02.02.16;12.02.2016;8X3;;;;
11323;Natures Touch;English Lavender and Cucumber Day Cream 50ml;02.02.16;12.02.2016;8X3;;;;
11324;Natures Touch;Lavender and Chamomile Night Cream 50ml;02.02.16;12.02.2016;8X3;;;;
11325;Natures Touch;Avocado and Pelargonium Night Cream 50ml;02.02.16;12.02.2016;8X3;;;;
11358;Advacos;Skin Nutrition Night Cream 50ml ;11.02.16;16.02.2016;8X3;;;;
11375;Body Corp;Spektra Sun SPF30;16.02.16;18.02.2016;8X3;;;;
11413;MRL Private Collection;Hydrating Moisturising Lotion For Him 75ml;16.02.16;19.02.2016;8X3;;;;
11414;MRL Private Collection;Hydrating Moisturising Lotion For Her 75ml;16.02.16;19.02.2016;8X3;;;;
11361;Lamicare;Dermikelp Skin Cream 100g;17.02.16;19.02.2016;8X3;;;;
11379;Britec Labs;Redd Summer Hand & Body Lotion 150ml;01.03.16;07.03.2016;8X3;;;;
11380;Britec Labs;Coppelia Summer Hand & Body Lotion 150ml;01.03.16;07.03.2016;8X3;;;;
11381;Britec Labs;JS Summer Hand & Body Lotion 150ml;01.03.16;07.03.2016;8X3;;;;
11442;Prime Products;Order (a/w);01.03.16;07.03.2016;8X3;;;;
11443;Prime Products;Order (a/w);01.03.16;07.03.2016;8X3;;;;
11444;Prime Products;Order (a/w);01.03.16;07.03.2016;8X3;;;;
11455;Jenpack ;Jenpack Novus H&B Lotion 100ml;01.03.16;02.03.2016;8X3;;;;
11457;Fabupharm;Suplimax Herbal Skin Cancer Cream 75ml;01.03.16;02.03.2016;8X3;;;;
11464;Pepper Tree Packaging;Cocoa Hand Sanitiser  50ml;01.03.16;07.03.2016;8X3;;;;
11465;Pepper Tree Packaging;Cocoa Hand and Nail Cream 50ml;01.03.16;07.03.2016;8X3;;;;
11466;Bio Earth Man.;Yungskin Earthskin Serum 50ml;01.03.16;01.03.2016;8X3;;;;
11467;Bio Earth Man.;Yungskin Earthskin Face Wash 100ml;01.03.16;01.03.2016;8X3;;;;
11477;Aerosol & Cosm.;At Home H2O 100ml;03.03.16;07.03.2016;8X3;;;;
11468;MRL Private Collection;Hand & Nail Crm 50ml;10.03.16;11.03.2016;8x3;;;;
11479;Bio Earth Man.;Slinko SPF40  50ml ;10.03.16;03.11.2016;8x3;;;;
11469;House Of Aloes ;Chinese Aloe Gel 75ml ;11.03.16;14.03.2016;8X3;;;;
11473;Catwalk;Bramleys Mens Lotion 50ml;11.03.16;14.03.2016;8X3;;;;
11474;Catwalk;Bramleys Mens Shaving Cream 50ml;11.03.16;14.03.2016;8X3;;;;
11468_1;MRL Private Collection;MRL Hand and Nail Cream 50ml;15.03.16;18.03.2016;8X3;;;;
11373;Le-Sel;T/Charm Moringa Purifying Clay Mask 75ml;17.03.16;18.03.2016;8X3;;;;
11476;The Lash Collection;Eyelid Cleanser 50ml;22.03.16;22.03.2016;8X3;;;;1st proof send 17/3/2016, Customer made adjustments to artwork. 2nd proof send22/3 more adjustment came through afterwards. 
11369;Le-Sel;T/Charm Moringa Brightning Night Treatment 50ml;29.03.16;30.03.2016;8X3;;;First proof sent 17 March. Client approved 18/3 but requested changes to height of print after approval;
11370;Le-Sel;T/Charm Moringa Blemish Control Face Wash 150ml;29.03.16;30.03.2016;8X3;;;First proof sent 17 March. Client approved 18/3 but requested changes to height of print after approval;
11371;Le-Sel;T/Charm Moringa Blemish Minimiser Day Cream 50ml;29.03.16;30.03.2016;8X3;;;First proof sent 17 March. Client approved 18/3 but requested changes to height of print after approval;
11536;Le-Sel;Table Charm Zonke Hair Fertilizer 100ml;29.03.16;30.03.2016;8X3;;;First proof sent 17 March. Client approved 18/3 but requested changes to height of print after approval;
11401;SDK Agencies;Cream Petrolium Jelly - Camphor 150ml;30.03.16;01.04.2016;8X3;;;;
11402;SDK Agencies;Creamy Petrolium Jelly - Coco 150ml;30.03.16;01.04.2016;8X3;;;;
11403;SDK Agencies;Creamy Petrolium Jelly - Original 150ml;30.03.16;01.04.2016;8X3;;;;
11547;Natures Touch;Carrot And Jasmine Night Cream 50ml;30.03.16;30.03.2016;8X3;;;;
11548;Natures Touch;Neroli and Lemon Day Cream 50ml;30.03.16;30.03.2016;8X3;;;;
11549;Natures Touch;Tea Tree and Lavender Day Cream 50ml;30.03.16;30.03.2016;8X3;;;;
11561;Genop Healthcare;Order (a/w);01.04.16;04.04.2016;8X3;;;;
10652;Fino Cosmetics;Fino Womans Soothe After Care Balm 50ml;04.04.16;04.04.2016;;;;;
11568;Republic Procurement;Peanut Butter & Jam 100ml;11.04.16;13.04.2016;8X3;;;;
