Pre-Prod No.;Product Code;Works Order;Unit Order No;Raw Code;Sales Rep;Client;Description;Qty_Including Waste;Artwork Order;Due for SAESA;Diameter;Material;Length;Orifice;Order;Proof;Proof Approved (Digital);Digital Trial;Digital Trial No;Trial approved;Revised Artwork After Trialling;Foil;Cap_Lid Style;Status;Closed;Repeat Job;T1_Date;Retrial T2;Retrial T3;Retrial T4;Retrial T5;Trial Comments
14992;C35LTLSK000F;Cancelled;157035/4;Cancelled;Rob;Leef Skin Care;CBD + Day Cream SPF15 50ml;#NAME?;EMAIL LEEF  ;x;35;PBL;100;4;x;x;x;Cancelled;Cancelled;Cancelled;0;;A;Told that the job may go offset;x;New;;;;;;
14993;C35LTLSK001F;Cancelled;157038/4;Cancelled;Rob;Leef Skin Care;CBD + Night Cream 50ml;#NAME?;EMAIL LEEF  ;x;35;PBL;100;4;x;x;x;Cancelled;Cancelled;Cancelled;0;;A;Told that the job may go offset;x;New;;;;;;
15206;C35LTHLS004F;W00143530;157195/0;CLAM113HLS004W;Natalie;HLS Industries;Black Ink Body Lotion;6000;PO 1  ;x;35;PBL;120;10;x;x;x;x10/10;1;43749;0;;F/T B/O;;closed;New;2019/10/10;;;;;
15207;C35LTHLS005F;W00143534;15796/0;CLAM113HLS005W;Natalie;HLS Industries;Black Ink Body Wash;6000;PO 1  ;x;35;PBL;120;10;x;x;x;x10/10;1;43749;0;;F/T B/O;;closed;New;2019/10/10;;;;;
15200;C35LTCUS000F;W00143539;157140/0;CLAM113CUS000W;Natalie;Customised Cosmetics;Four Twenty Hand Lotion 50ml;10700;POA11251  ;x;35;PBL;90;10;x;x;x;x30/10;1;43773;0;;F/T B/O;;closed;New;2019/10/30;;;;;
15175;C35LTGEV003F;W00143520;157201/0;CLAM113GEV003W;Rob;Geve Phytogenetics;Night Moisturiser 50ml;3500;ASEYAH 27/09/2019  ;x;35;PBL;100;4;x;x;x;x 21/10;2;43768;0;;A;;closed;New;2019/10/28;2019/10/29;;;;
15176;C35LTGEV002F;W00143526;157199/2;CLAM113GEV002W;Rob;Geve Phytogenetics;Hand Cream 75ml;3500;ASEYAH 27/09/2019  ;x;35;PBL;120;4;x;x;x;x28/10;1;43768;43777;;A;;closed;New;2019/10/28;2019/10/29;;;;
15177;C35LTGEV004F;W00143523;157200/0;CLAM113GEV004W;Rob;Geve Phytogenetics;Dry Skin Moisturiser 50ml;3400;ASEYAH 27/09/2019  ;x;35;PBL;100;4;x;x;x;x28/10;2;43768;0;;A;;closed;New;2019/10/28;2019/10/29;;;;
15190;C35LTGEV000F;W00143513;157203/0;CLAM113GEV000W;Rob;Geve Phytogenetics;Normal / Oily Skin Day Moisturiser 50ml;6000;ASEYAH 27/09/2019  ;x;35;PBL;100;4;x;x;x;x28/10;2;43768;0;;A;;closed;New;2019/10/28;2019/10/29;;;;
15191;C35LTGEV001F;W00143517;157202/0;CLAM113GEV001W;Rob;Geve Phytogenetics;Normal / Oily Skin Night Moisturiser 50ml;6000;ASEYAH 27/09/2019  ;x;35;PBL;100;4;x;x;x;x28/10;2;43768;0;;A;;closed;New;2019/10/28;2019/10/29;;;;
15189;C35LTSAA036F;W00143390;157040/2;CLAM113SAA036W;Wayne;Saradox;GS Time On Your Hands Provitamin B5, Keratin & Avocado Oil 75ml;8000;PO-004595  ;x;35;PBL;125;10;x;x;x;x7/10;2;43746;0;;F/T B/O;;closed;New;2019/10/02;2019/10/07;;;;T2: Clock as per existing. Other colours bright
15230_27;C35LTCAT044F (Add 26);W00181826;175944/0;CLAM113CAT044W;Rob;Catwalk;Magnolia Hand and Nail 75ml;26500;  ;x;35;PBL;125;4;x;x;x;x;1;Repeat;0;;A;;closed;x;;;;;;
15230_1;C35LTCAT044F (Add);W00143680;#NAME?;CLAM113CAT044W;Rob;Catwalk;Magnolia Hand and Nail 75ml;#NAME?;repeat;x;35;PBL;125;4;x;x;x;Repeat;Repeat;Repeat;0;;A;;closed;x;;;;;;
13333_4;C35LTBTL001F (Add 3);W00143472;#NAME?;CLAM113BTL001W;Natalie;Botle Buhle;Orijins Tissue APC Night Cream 50ml;3800;-  ;x;35;PBL;90;10;x;x;x;Repeat;Repeat;Repeat;0;;F/T B/O;;closed;x;;;;;;
10818_17;C25LTZET001F (Add 16);W00143459;#NAME?;CLAM082ZET001W;Trevor;PD Pharma;PD PHARM Pain Relief Gel  (Pd In Full);11000;117695  ;x;25;PBL;100;6;x;x;x;Repeat;Repeat;Repeat;0;;A;;closed;x;;;;;;
14788_1;C35LTCAT034F (Add);W00143799;#NAME?;CLAM113CAT034W;Rob;Catwalk;Cocoa Heaven Hand & Nail Cream - 75ml;33000;repeat;x;35;PBL;125;4;x;x;x;Repeat;Repeat;Repeat;0;;A;;closed;x;;;;;;
14788_2;C35LTCAT034F (Add 1);W00143802;#NAME?;CLAM113CAT034W;Rob;Catwalk;Cocoa Heaven Hand & Nail Cream - 75ml;22000;repeat;x;35;PBL;125;4;x;x;x;Repeat;Repeat;Repeat;0;;A;;closed;x;;;;;;
